253	6	569	1
2984	6	2021	1
1318	6	1321	1
2175	6	2142	1
253	6	569	2
2984	6	2021	2
1318	6	1321	2
2175	6	2142	2
2175	6	5066	2
2175	6	569	2
178	6	2329	2
3732	6	5066	2
653	6	5066	2
178	6	2124	2
4195	6	13	2
3750	6	190	2
253	6	569	3
2984	6	2021	3
1318	6	1321	3
2175	6	2142	3
2175	6	5066	3
2175	6	569	3
178	6	2329	3
3732	6	5066	3
653	6	5066	3
178	6	2124	3
4195	6	13	3
3750	6	190	3
3277	6	5066	3
4907	6	2142	3
2316	5	474	3
2184	6	5066	3
3882	6	4592	3
1371	6	13	3
1371	6	569	3
1371	6	5183	3
1371	6	5211	3
1701	6	2997	3
1413	6	929	3
3022	6	5066	3
2964	6	5066	3
2331	6	569	3
2087	6	2997	3
2614	6	5211	3
4259	6	5066	3
4254	6	5066	3
2135	6	5066	3
181	6	5066	3
764	6	5066	3
800	6	5066	3
514	6	5066	3
1137	6	569	3
1840	6	5066	3
5274	6	569	3
2830	6	5066	3
113	6	5066	3
1638	6	5066	3
311	6	1690	3
185	6	3670	3
4971	6	5066	3
4971	6	13	3
1774	6	1690	3
3022	6	3343	3
4155	6	3343	3
3795	6	5066	3
4164	6	5214	3
3480	6	4331	3
2250	6	4331	3
1371	1	880	3
4643	6	3343	3
1358	6	1610	3
3866	6	4331	3
3981	6	1737	3
4966	6	2799	3
2469	6	13	3
641	6	569	3
1413	6	5066	3
835	6	13	3
4971	6	3343	3
4971	6	1432	3
3746	6	13	3
1013	6	2157	3
178	6	4987	3
2175	6	4987	3
4543	6	5211	3
1531	6	5066	3
4319	6	569	3
681	0	2991	3
1675	6	5066	3
3610	6	707	3
3257	6	2302	3
2714	6	569	3
2074	6	5066	3
523	6	5211	3
1656	6	4332	3
2991	5	2302	3
1814	6	5211	3
2225	6	569	3
807	6	5065	3
4308	6	5066	3
4090	6	1432	3
2662	6	569	3
3078	6	5066	3
1442	6	5066	3
681	6	2302	3
877	6	5066	3
2631	6	5066	3
4329	6	5066	3
253	6	569	4
2984	6	2021	4
1318	6	1321	4
2175	6	2142	4
2175	6	5066	4
2175	6	569	4
178	6	2329	4
3732	6	5066	4
653	6	5066	4
178	6	2124	4
4195	6	13	4
3750	6	190	4
3277	6	5066	4
4907	6	2142	4
2316	5	474	4
2184	6	5066	4
3882	6	4592	4
1371	6	13	4
1371	6	569	4
1371	6	5183	4
1371	6	5211	4
1701	6	2997	4
1413	6	929	4
3022	6	5066	4
2964	6	5066	4
2331	6	569	4
2087	6	2997	4
2614	6	5211	4
4259	6	5066	4
4254	6	5066	4
2135	6	5066	4
181	6	5066	4
764	6	5066	4
800	6	5066	4
514	6	5066	4
1137	6	569	4
1840	6	5066	4
5274	6	569	4
2830	6	5066	4
113	6	5066	4
1638	6	5066	4
311	6	1690	4
185	6	3670	4
4971	6	5066	4
4971	6	13	4
1774	6	1690	4
3022	6	3343	4
4155	6	3343	4
3795	6	5066	4
4164	6	5214	4
3480	6	4331	4
2250	6	4331	4
1371	1	880	4
4643	6	3343	4
1358	6	1610	4
3866	6	4331	4
3981	6	1737	4
4966	6	2799	4
2469	6	13	4
641	6	569	4
1413	6	5066	4
835	6	13	4
4971	6	3343	4
4971	6	1432	4
3746	6	13	4
1013	6	2157	4
178	6	4987	4
2175	6	4987	4
4543	6	5211	4
1531	6	5066	4
4319	6	569	4
681	0	2991	4
1675	6	5066	4
3610	6	707	4
3257	6	2302	4
2714	6	569	4
2074	6	5066	4
523	6	5211	4
1656	6	4332	4
2991	5	2302	4
1814	6	5211	4
2225	6	569	4
807	6	5065	4
4308	6	5066	4
4090	6	1432	4
2662	6	569	4
3078	6	5066	4
1442	6	5066	4
681	6	2302	4
877	6	5066	4
2631	6	5066	4
4329	6	5066	4
1774	6	3129	4
4164	6	4331	4
683	6	1148	4
807	6	4331	4
371	6	5066	4
2991	5	5066	4
3610	6	5066	4
1023	6	4331	4
1371	6	3343	4
1647	6	5066	4
1701	6	3343	4
4968	6	3343	4
3619	6	2124	4
238	6	5066	4
4155	6	2799	4
2395	6	5066	4
2037	6	2799	4
5	1	1148	4
4900	6	1432	4
877	6	1690	4
5224	5	901	4
4231	6	1432	4
3614	6	5066	4
800	6	1690	4
773	6	13	4
58	6	2799	4
3022	6	4032	4
1613	6	13	4
2250	6	901	4
3175	5	901	4
5296	6	306	4
4013	6	306	4
5301	6	569	4
807	0	3175	4
2614	6	5066	4
1013	6	4032	4
2984	6	4108	4
1920	6	3343	4
4543	6	3343	4
835	6	1690	4
3516	6	3019	4
2210	6	4457	4
2029	6	306	4
564	6	13	4
2614	6	13	4
1774	3	5136	4
421	5	5066	4
1914	6	1735	4
5136	5	5066	4
1840	6	1690	4
4435	6	5066	4
3348	6	1298	4
3348	6	569	4
2631	6	13	4
1673	6	13	4
1885	6	1735	4
3981	6	5066	4
3300	6	569	4
3182	6	5066	4
1774	6	594	4
1371	6	1471	4
1701	6	5211	4
4155	6	2222	4
773	6	1690	4
4543	6	4331	4
2408	6	5066	4
4254	6	929	4
4254	6	2521	4
3862	6	2924	4
3746	6	1690	4
115	6	5066	4
4042	6	13	4
4042	6	5211	4
4630	6	5211	4
4627	6	5066	4
181	6	1690	4
1876	6	569	4
2432	6	5066	4
3023	6	594	4
4368	6	5066	4
2990	6	569	4
2225	6	296	4
807	3	3325	4
3745	6	4331	4
4443	5	917	4
770	6	5211	4
3480	6	569	4
4971	6	296	4
4891	6	5066	4
4908	6	5211	4
1413	6	1690	4
1774	6	2302	4
807	6	13	4
1371	6	594	4
877	6	4331	4
877	6	459	4
877	6	1471	4
4329	6	4331	4
2037	6	13	4
5296	6	4331	4
5327	6	5066	4
3726	6	4331	4
3583	6	4331	4
3862	6	544	4
2432	6	13	4
4643	6	1799	4
1426	6	85	4
1105	6	1471	4
1987	6	569	4
2311	6	569	4
2830	6	1690	4
1988	6	4348	4
2184	6	5214	4
390	6	1690	4
1637	5	1690	4
3873	6	1471	4
4785	6	5066	4
3740	6	5066	4
2086	6	5066	4
4090	6	1180	4
4528	5	901	4
3530	6	1690	4
409	5	901	4
3535	6	569	4
308	5	1690	4
2793	6	594	4
2165	6	4331	4
3866	6	1690	4
2344	5	1690	4
4398	6	1690	4
1822	6	347	4
178	6	5066	4
753	5	2924	4
